CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
482 - MEDAN BARU;251 - PEMATANG SIANTAR;Tabungan;CASA;26.369.063.629;26.547.482.620;27.634.500.081;27.043.859.284;27.149.155.019;27.803.660.975;27.419.335.403;25.127.603.812;24.992.111.615;24.801.929.544;28.877.240.870;24.768.039.200;25.163.855.574;25.226.286.029;25.150.728.705;25.277.634.923;24.787.116.608;25.089.494.360
482 - MEDAN BARU;252 - KCP KISARAN;Deposito;TD;23.243.025.740;25.128.250.000;26.318.000.000;25.537.000.000;25.173.031.512;22.304.563.570;23.233.021.996;22.823.106.469;21.740.152.640;21.868.217.920;21.268.297.949;21.637.377.399;22.133.567.788;20.133.616.837;20.593.596.316;20.982.000.000;19.198.450.000;18.581.000.000
482 - MEDAN BARU;252 - KCP KISARAN;Giro;CASA;4.258.821.911;3.704.432.778;1.521.100.519;3.201.112.621;3.895.257.266;3.204.207.314;3.081.640.894;865641909,1;1.750.247.314;3.734.809.951;5.698.912.567;4.762.229.147;5.955.430.299;4.547.716.085;3.317.099.515;3.438.997.894;3.639.789.170;3.736.295.970
482 - MEDAN BARU;252 - KCP KISARAN;Tabungan;CASA;24.196.889.211;21.372.309.513;21.318.095.639;21.256.303.306;22.225.702.001;22.865.094.470;22.716.229.128;23.443.690.135;23.441.520.971;23.201.534.098;24.248.287.678;25.613.977.824;23.701.229.893;24.800.468.892;25.208.839.371;26.802.401.960;27.007.950.463;28.115.207.018
482 - MEDAN BARU;467 - KCP STABAT;Deposito;TD;7.662.550.386;6.527.815.465;6.550.082.279;6.769.472.650;6.531.220.101;6.765.169.947;6.665.084.913;6.715.867.323;6.718.504.699;6.309.573.949;6.001.599.882;6.801.447.563;6.649.841.021;7.375.484.819;8.637.610.644;8.837.791.637;7.771.364.576;7.568.747.746
482 - MEDAN BARU;467 - KCP STABAT;Giro;CASA;33968907,34;34146408,35;34323909,38;34498910,42;34619911,45;34807412,44;34402413,21;35079913,9;35007414,49;5182415,19;5377415,86;5572416,54;5767417,2;25357417,81;6157418,45;6082419,04;6499919,63;6714920,18
482 - MEDAN BARU;467 - KCP STABAT;Tabungan;CASA;21.887.220.210;20.402.414.203;20.613.680.555;20.217.478.915;20.465.360.900;20.011.218.648;18.893.464.495;18.667.126.221;18.053.355.412;17.835.065.141;18.794.940.936;19.952.364.771;18.456.938.809;18.550.920.108;18.502.000.811;19.859.100.788;19.025.948.339;20.055.882.594
482 - MEDAN BARU;482 - MEDAN BARU;Deposito;TD;87.462.854.724;85.840.273.946;84.510.904.358;80.454.927.387;77.953.196.961;67.803.718.460;53.413.916.285;56.903.950.952;61.589.988.554;62.673.360.463;61.743.119.937;60.275.146.737;45.291.996.749;58.529.432.019;59.008.361.945;58.685.171.350;59.517.304.957;60.182.351.444
482 - MEDAN BARU;482 - MEDAN BARU;Giro;CASA;20.352.371.338;35.541.777.864;29.335.846.440;27.858.301.145;25.811.147.569;23.061.081.824;24.714.736.322;25.933.297.696;24.970.141.351;20.326.218.765;15.862.500.024;15.503.859.884;23.088.818.389;15.956.432.203;15.127.439.101;11.085.004.211;15.593.169.976;15.607.808.678
482 - MEDAN BARU;482 - MEDAN BARU;Tabungan;CASA;55.841.606.125;55.467.759.407;59.283.892.438;55.827.306.231;56.709.047.079;64.343.707.156;59.119.333.454;57.475.105.616;57.156.809.940;56.096.698.680;57.320.545.506;56.459.955.136;64.609.054.163;50.862.195.361;49.584.606.177;49.706.198.804;51.978.852.032;48.111.597.319
